Specimen properties : Specimen label,Luis Recatngle Leather Test,
Specimen properties : Width,26.39,mm
Specimen properties : Thickness,1.122,mm
Specimen properties : Length,107.45,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,1.7
0.25,0.198,2.4
0.5,0.415,2.9
0.75,0.626,3.3
1,0.834,3.7
1.25,1.043,4.1
1.5,1.251,4.4
1.75,1.46,4.8
2,1.668,5.1
2.25,1.876,5.5
2.5,2.084,5.9
2.75,2.293,6.2
3,2.501,6.5
3.25,2.71,6.9
3.5,2.918,7.3
3.75,3.126,7.7
4,3.335,8
4.25,3.543,8.4
4.5,3.751,8.8
4.75,3.96,9.3
5,4.168,9.7
5.25,4.376,10.1
5.5,4.584,10.5
5.75,4.793,10.9
6,5.001,11.4
6.25,5.21,11.9
6.5,5.418,12.3
6.75,5.626,12.8
7,5.835,13.3
7.25,6.043,13.8
7.5,6.251,14.3
7.75,6.46,14.8
8,6.668,15.4
8.25,6.876,15.9
8.5,7.084,16.5
8.75,7.293,17.1
9,7.501,17.7
9.25,7.709,18.2
9.5,7.918,18.9
9.75,8.126,19.5
10,8.334,20.1
10.25,8.543,20.7
10.5,8.751,21.4
10.75,8.96,22.1
11,9.167,22.7
11.25,9.376,23.4
11.5,9.584,24.1
11.75,9.794,24.9
12,10.001,25.6
12.25,10.21,26.3
12.5,10.418,27.1
12.75,10.626,27.8
13,10.835,28.6
13.25,11.043,29.3
13.5,11.251,30.1
13.75,11.46,30.9
14,11.668,31.7
14.25,11.876,32.5
14.5,12.084,33.3
14.75,12.293,34.2
15,12.501,34.9
15.25,12.71,35.8
15.5,12.918,36.6
15.75,13.127,37.5
16,13.335,38.3
16.25,13.543,39.2
16.5,13.751,40
16.75,13.96,40.9
17,14.168,41.8
17.25,14.376,42.7
17.5,14.584,43.6
17.75,14.794,44.5
18,15.001,45.3
18.25,15.21,46.3
18.5,15.418,47.2
18.75,15.626,48.1
19,15.835,49.1
19.25,16.043,50
19.5,16.251,51
19.75,16.46,51.9
20,16.668,52.9
20.25,16.876,53.9
20.5,17.085,54.9
20.75,17.293,55.8
21,17.501,56.8
21.25,17.71,57.8
21.5,17.918,58.8
21.75,18.127,59.8
22,18.335,60.8
22.25,18.543,61.9
22.5,18.751,62.9
22.75,18.96,64
23,19.168,65
23.25,19.376,66
23.5,19.584,67.1
23.75,19.793,68.2
24,20.001,69.2
24.25,20.21,70.4
24.5,20.418,71.5
24.75,20.626,72.6
25,20.835,73.6
25.25,21.042,74.8
25.5,21.251,75.9
25.75,21.46,77.1
26,21.668,78.2
26.25,21.876,79.3
26.5,22.085,80.5
26.75,22.293,81.6
27,22.501,82.8
27.25,22.71,84
27.5,22.918,85.2
27.75,23.127,86.4
28,23.335,87.6
28.25,23.543,88.8
28.5,23.751,90
28.75,23.96,91.2
29,24.168,92.4
29.25,24.376,93.7
29.5,24.585,95
29.75,24.793,96.2
30,25.001,97.4
30.25,25.21,98.7
30.5,25.418,100
30.75,25.626,101.3
31,25.835,102.5
31.25,26.043,103.8
31.5,26.251,105.2
31.75,26.46,106.5
32,26.668,107.8
32.25,26.876,109.1
32.5,27.085,110.4
32.75,27.294,111.8
33,27.501,113.1
33.25,27.71,114.4
33.5,27.918,115.8
33.75,28.126,117.2
34,28.335,118.5
34.25,28.543,119.9
34.5,28.751,121.3
34.75,28.96,122.6
35,29.168,124.1
35.25,29.376,125.4
35.5,29.585,126.9
35.75,29.793,128.3
36,30.001,129.6
36.25,30.209,131.1
36.5,30.418,132.6
36.75,30.627,134
37,30.835,135.4
37.25,31.043,136.8
37.5,31.251,138.3
37.75,31.46,139.8
38,31.668,141.3
38.25,31.876,142.7
38.5,32.084,144.3
38.75,32.294,145.7
39,32.501,147.2
39.25,32.71,148.7
39.5,32.917,150.2
39.75,33.127,151.7
40,33.335,153.2
40.25,33.543,154.7
40.5,33.751,156.2
40.75,33.96,157.8
41,34.168,159.3
41.25,34.376,160.8
41.5,34.585,162.4
41.75,34.793,163.9
42,35.001,165.4
42.25,35.209,167
42.5,35.418,168.5
42.75,35.627,170.1
43,35.835,171.6
43.25,36.043,173.1
43.5,36.251,174.7
43.75,36.46,176.2
44,36.668,177.8
44.25,36.876,179.4
44.5,37.084,180.9
44.75,37.293,182.6
45,37.501,184.1
45.25,37.709,185.7
45.5,37.918,187.3
45.75,38.127,188.9
46,38.335,190.5
46.25,38.543,192
46.5,38.751,193.6
46.75,38.96,195.3
47,39.168,196.8
47.25,39.376,198.4
47.5,39.585,200.1
47.75,39.794,201.7
48,40.001,203.3
48.25,40.21,204.9
48.5,40.418,206.5
48.75,40.627,208.1
49,40.835,209.7
49.25,41.043,211.3
49.5,41.251,212.9
49.75,41.46,214.5
50,41.668,216.1
50.25,41.876,217.7
50.5,42.085,219.4
50.75,42.293,221
51,42.501,222.5
51.25,42.71,224.2
51.5,42.918,225.7
51.75,43.126,227.3
52,43.335,228.9
52.25,43.543,230.5
52.5,43.751,232.1
52.75,43.96,233.7
53,44.168,235.3
53.25,44.376,236.9
53.5,44.584,238.5
53.75,44.793,240.1
54,45.001,241.6
54.25,45.21,243.2
54.5,45.417,244.8
54.75,45.627,246.4
55,45.835,248
55.25,46.043,249.6
55.5,46.251,251.2
55.75,46.46,252.8
56,46.668,254.4
56.25,46.876,256
56.5,47.085,257.6
56.75,47.293,259.2
57,47.501,260.8
57.25,47.71,262.3
57.5,47.918,263.9
57.75,48.127,265.4
58,48.335,267
58.25,48.543,268.5
58.5,48.751,270.1
58.75,48.96,271.6
59,49.168,273.1
59.25,49.376,274.6
59.5,49.584,276.2
59.75,49.794,277.7
60,50.001,279.2
60.25,50.21,280.6
60.5,50.417,282.1
60.75,50.626,283.4
61,50.835,284.5
61.25,51.043,285.2
61.5,51.251,285.5
61.75,51.46,284.9
61.96,51.632,282.9
62.05,51.71,280.9
62.1,51.748,278.8
62.13,51.776,276.8
62.16,51.798,274.8
62.17,51.813,272.7
62.19,51.825,270.5
62.2,51.833,268.5
62.21,51.839,266.4
62.21,51.846,264
62.22,51.853,261.3
62.23,51.858,259
62.23,51.863,256.4
62.24,51.868,253.3
62.24,51.872,251
62.25,51.875,248.5
62.25,51.878,245.4
62.25,51.88,242.6
62.26,51.882,237.6
62.26,51.885,229.7
62.26,51.887,219.5
62.26,51.889,207.9
62.26,51.891,195.1
62.27,51.893,181.6
62.27,51.895,167.7
62.27,51.897,153.7
