Specimen properties : Specimen label,Myah's Bone,
Specimen properties : Width,16.17,mm
Specimen properties : Thickness,1.036,mm
Specimen properties : Length,106.36,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,1.8
0.25,0.198,2.3
0.5,0.415,2.6
0.75,0.625,2.9
1,0.834,3.1
1.25,1.043,3.4
1.5,1.251,3.6
1.75,1.46,3.8
2,1.668,4
2.25,1.877,4.2
2.5,2.085,4.5
2.75,2.293,4.7
3,2.501,4.9
3.25,2.71,5.1
3.5,2.918,5.3
3.75,3.126,5.5
4,3.335,5.8
4.25,3.543,6
4.5,3.751,6.2
4.75,3.959,6.4
5,4.168,6.6
5.25,4.376,6.9
5.5,4.585,7.1
5.75,4.793,7.3
6,5.001,7.6
6.25,5.21,7.8
6.5,5.418,8.1
6.75,5.626,8.3
7,5.835,8.6
7.25,6.043,8.8
7.5,6.251,9.1
7.75,6.46,9.4
8,6.668,9.7
8.25,6.876,10
8.5,7.085,10.2
8.75,7.293,10.5
9,7.501,10.8
9.25,7.71,11.1
9.5,7.918,11.4
9.75,8.126,11.7
10,8.335,12
10.25,8.543,12.3
10.5,8.751,12.6
10.75,8.96,13
11,9.168,13.3
11.25,9.377,13.6
11.5,9.584,14
11.75,9.793,14.3
12,10.001,14.7
12.25,10.21,15
12.5,10.418,15.3
12.75,10.626,15.7
13,10.835,16.1
13.25,11.043,16.5
13.5,11.251,16.8
13.75,11.46,17.2
14,11.668,17.6
14.25,11.876,18
14.5,12.085,18.4
14.75,12.293,18.8
15,12.501,19.2
15.25,12.71,19.6
15.5,12.918,20
15.75,13.126,20.4
16,13.335,20.9
16.25,13.543,21.3
16.5,13.751,21.7
16.75,13.96,22.2
17,14.168,22.6
17.25,14.377,23.1
17.5,14.585,23.5
17.75,14.793,24
18,15.001,24.4
18.25,15.21,24.9
18.5,15.418,25.4
18.75,15.626,25.9
19,15.835,26.4
19.25,16.043,26.9
19.5,16.251,27.4
19.75,16.46,27.9
20,16.668,28.4
20.25,16.876,28.9
20.5,17.085,29.4
20.75,17.293,30
21,17.501,30.5
21.25,17.71,31.1
21.5,17.918,31.6
21.75,18.127,32.2
22,18.335,32.7
22.25,18.543,33.3
22.5,18.752,33.8
22.75,18.96,34.4
23,19.168,35
23.25,19.376,35.6
23.5,19.585,36.2
23.75,19.793,36.8
24,20.001,37.4
24.25,20.21,38
24.5,20.418,38.6
24.75,20.626,39.3
25,20.835,39.9
25.25,21.043,40.5
25.5,21.251,41.2
25.75,21.46,41.8
26,21.668,42.5
26.25,21.877,43.2
26.5,22.085,43.8
26.75,22.293,44.5
27,22.501,45.2
27.25,22.71,45.9
27.5,22.918,46.6
27.75,23.127,47.3
28,23.335,48
28.25,23.543,48.7
28.5,23.751,49.4
28.75,23.96,50.2
29,24.168,50.9
29.25,24.377,51.6
29.5,24.585,52.4
29.75,24.793,53.1
30,25.001,53.9
30.25,25.21,54.7
30.5,25.418,55.4
30.75,25.626,56.2
31,25.834,57
31.25,26.043,57.8
31.5,26.251,58.6
31.75,26.46,59.4
32,26.668,60.3
32.25,26.877,61.1
32.5,27.085,61.9
32.75,27.293,62.7
33,27.501,63.6
33.25,27.71,64.4
33.5,27.918,65.3
33.75,28.127,66.1
34,28.335,67
34.25,28.543,67.9
34.5,28.751,68.8
34.75,28.96,69.6
35,29.168,70.5
35.25,29.377,71.5
35.5,29.585,72.3
35.75,29.793,73.2
36,30.001,74.1
36.25,30.21,75.1
36.5,30.418,76
36.75,30.626,77
37,30.834,77.9
37.25,31.043,78.9
37.5,31.251,79.8
37.75,31.46,80.8
38,31.668,81.7
38.25,31.877,82.7
38.5,32.085,83.7
38.75,32.293,84.7
39,32.501,85.7
39.25,32.71,86.7
39.5,32.918,87.7
39.75,33.126,88.7
40,33.335,89.7
40.25,33.543,90.7
40.5,33.751,91.7
40.75,33.96,92.7
41,34.168,93.8
41.25,34.377,94.8
41.5,34.585,95.8
41.75,34.793,96.9
42,35.001,97.9
42.25,35.21,99
42.5,35.418,100.1
42.75,35.626,101.1
43,35.835,102.2
43.25,36.043,103.3
43.5,36.251,104.4
43.75,36.46,105.4
44,36.668,106.5
44.25,36.876,107.6
44.5,37.085,108.7
44.75,37.293,109.8
45,37.501,110.9
45.25,37.71,112
45.5,37.918,113.1
45.75,38.126,114.2
46,38.335,115.3
46.25,38.543,116.5
46.5,38.752,117.6
46.75,38.959,118.6
47,39.168,119.8
47.25,39.376,121
47.5,39.585,122.1
47.75,39.793,123.2
48,40.001,124.3
48.25,40.21,125.5
48.5,40.418,126.7
48.75,40.626,127.8
49,40.834,129
49.25,41.043,130.1
49.5,41.251,131.3
49.75,41.46,132.5
50,41.668,133.6
50.25,41.877,134.8
50.5,42.085,135.9
50.75,42.293,137.1
51,42.501,138.3
51.25,42.71,139.5
51.5,42.918,140.6
51.75,43.126,141.8
52,43.335,143
52.25,43.543,144.2
52.5,43.751,145.3
52.75,43.96,146.5
53,44.168,147.7
53.25,44.376,148.9
53.5,44.585,150.1
53.75,44.793,151.2
54,45.001,152.4
54.25,45.21,153.6
54.5,45.418,154.8
54.75,45.626,156
55,45.835,157.2
55.25,46.043,158.4
55.5,46.251,159.6
55.75,46.459,160.7
56,46.668,162
56.25,46.877,163.2
56.5,47.085,164.3
56.75,47.293,165.5
57,47.502,166.7
57.25,47.71,167.9
57.5,47.918,169.1
57.75,48.126,170.2
58,48.335,171.4
58.25,48.543,172.6
58.5,48.751,173.7
58.75,48.96,174.9
59,49.168,176.1
59.25,49.376,177.2
59.5,49.585,178.4
59.75,49.793,179.5
60,50.001,180.7
60.25,50.21,181.9
60.5,50.418,183
60.75,50.626,184.2
61,50.835,185.3
61.25,51.043,186.5
61.5,51.251,187.6
61.75,51.46,188.7
62,51.668,189.8
62.25,51.877,191
62.5,52.085,192
62.75,52.293,193.1
63,52.501,194.1
63.25,52.71,195.2
63.5,52.918,196.2
63.75,53.127,197.3
64,53.335,198.3
64.25,53.544,199.4
64.5,53.751,200.4
64.75,53.96,201.5
65,54.168,202.6
65.25,54.377,203.7
65.5,54.585,204.8
65.75,54.793,205.8
66,55.002,206.8
66.25,55.21,207.8
66.5,55.418,208.7
66.75,55.626,209.6
67,55.835,210.6
67.25,56.043,211.6
67.5,56.251,212.5
67.75,56.46,213.4
68,56.668,214.4
68.25,56.877,215.3
68.5,57.085,216.1
68.75,57.293,216.9
69,57.501,217.5
69.25,57.71,218
69.5,57.918,218.6
69.75,58.126,218.9
70,58.335,218.6
70.23,58.523,216.6
70.32,58.604,214.6
70.41,58.673,212.5
70.47,58.723,210.5
70.51,58.763,208.5
70.55,58.79,206.4
70.56,58.805,204.2
70.58,58.815,201.8
70.58,58.822,199.4
70.59,58.825,196.1
70.59,58.827,192
70.59,58.829,185.6
70.59,58.831,177.3
70.6,58.834,168
70.6,58.836,157.7
70.6,58.837,146.9
70.6,58.839,135.7
70.6,58.841,124.4
