Specimen properties : Specimen label,Myah Rectangle,
Specimen properties : Width,21.78,mm
Specimen properties : Thickness,1.064,mm
Specimen properties : Length,111.11,mm
Test : Rate 1,50,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
0,0,1.9
0.25,0.199,2.6
0.5,0.416,3.1
0.75,0.626,3.5
1,0.835,3.9
1.25,1.043,4.2
1.5,1.252,4.4
1.75,1.46,4.7
2,1.668,5
2.25,1.877,5.3
2.5,2.085,5.6
2.75,2.293,6
3,2.501,6.3
3.25,2.71,6.6
3.5,2.918,6.9
3.75,3.127,7.2
4,3.335,7.6
4.25,3.543,7.9
4.5,3.752,8.3
4.75,3.96,8.7
5,4.168,9
5.25,4.377,9.4
5.5,4.585,9.8
5.75,4.793,10.2
6,5.001,10.6
6.25,5.21,11
6.5,5.418,11.4
6.75,5.627,11.9
7,5.835,12.3
7.25,6.044,12.8
7.5,6.251,13.2
7.75,6.46,13.7
8,6.668,14.2
8.25,6.877,14.7
8.5,7.084,15.2
8.75,7.293,15.7
9,7.502,16.2
9.25,7.71,16.7
9.5,7.918,17.3
9.75,8.127,17.9
10,8.335,18.4
10.25,8.543,19
10.5,8.752,19.6
10.75,8.96,20.2
11,9.168,20.8
11.25,9.377,21.4
11.5,9.585,22
11.75,9.794,22.7
12,10.002,23.3
12.25,10.21,23.9
12.5,10.418,24.6
12.75,10.627,25.2
13,10.835,25.9
13.25,11.043,26.6
13.5,11.252,27.3
13.75,11.46,27.9
14,11.668,28.6
14.25,11.877,29.3
14.5,12.085,30
14.75,12.293,30.7
15,12.502,31.4
15.25,12.71,32.2
15.5,12.918,32.9
15.75,13.127,33.6
16,13.335,34.3
16.25,13.544,35.1
16.5,13.752,35.8
16.75,13.96,36.6
17,14.168,37.3
17.25,14.377,38.1
17.5,14.585,38.9
17.75,14.793,39.6
18,15.002,40.4
18.25,15.21,41.2
18.5,15.418,41.9
18.75,15.627,42.8
19,15.835,43.6
19.25,16.043,44.4
19.5,16.252,45.2
19.75,16.46,46
20,16.668,46.8
20.25,16.877,47.6
20.5,17.085,48.4
20.75,17.293,49.3
21,17.501,50.2
21.25,17.71,51
21.5,17.918,51.9
21.75,18.127,52.7
22,18.335,53.6
22.25,18.543,54.5
22.5,18.752,55.4
22.75,18.96,56.3
23,19.168,57.2
23.25,19.377,58.1
23.5,19.585,59
23.75,19.793,59.9
24,20.001,60.8
24.25,20.21,61.8
24.5,20.419,62.7
24.75,20.627,63.6
25,20.835,64.5
25.25,21.044,65.5
25.5,21.252,66.5
25.75,21.46,67.4
26,21.668,68.4
26.25,21.877,69.4
26.5,22.085,70.4
26.75,22.293,71.4
27,22.501,72.4
27.25,22.71,73.4
27.5,22.918,74.4
27.75,23.127,75.4
28,23.335,76.5
28.25,23.544,77.5
28.5,23.752,78.6
28.75,23.96,79.6
29,24.168,80.6
29.25,24.377,81.7
29.5,24.585,82.8
29.75,24.794,83.9
30,25.001,84.9
30.25,25.21,86
30.5,25.419,87.1
30.75,25.627,88.2
31,25.835,89.3
31.25,26.043,90.4
31.5,26.252,91.5
31.75,26.46,92.6
32,26.668,93.7
32.25,26.877,94.9
32.5,27.085,96
32.75,27.294,97.2
33,27.501,98.3
33.25,27.71,99.5
33.5,27.919,100.6
33.75,28.127,101.8
34,28.335,102.9
34.25,28.544,104.2
34.5,28.752,105.3
34.75,28.96,106.5
35,29.168,107.7
35.25,29.377,108.9
35.5,29.585,110.1
35.75,29.793,111.3
36,30.001,112.6
36.25,30.21,113.8
36.5,30.419,115
36.75,30.626,116.2
37,30.835,117.4
37.25,31.044,118.7
37.5,31.251,119.9
37.75,31.46,121.2
38,31.668,122.4
38.25,31.876,123.7
38.5,32.085,125
38.75,32.294,126.2
39,32.502,127.5
39.25,32.71,128.8
39.5,32.918,130.1
39.75,33.127,131.3
40,33.335,132.6
40.25,33.543,134
40.5,33.752,135.2
40.75,33.96,136.5
41,34.168,137.8
41.25,34.377,139.2
41.5,34.585,140.5
41.75,34.794,141.8
42,35.001,143.1
42.25,35.21,144.5
42.5,35.418,145.8
42.75,35.627,147
43,35.835,148.4
43.25,36.044,149.8
43.5,36.252,151.1
43.75,36.46,152.4
44,36.668,153.8
44.25,36.877,155.2
44.5,37.085,156.5
44.75,37.293,157.9
45,37.501,159.2
45.25,37.71,160.6
45.5,37.919,162
45.75,38.127,163.3
46,38.335,164.7
46.25,38.543,166.1
46.5,38.752,167.5
46.75,38.96,168.8
47,39.168,170.2
47.25,39.376,171.6
47.5,39.585,173
47.75,39.794,174.3
48,40.001,175.7
48.25,40.21,177.1
48.5,40.419,178.5
48.75,40.627,179.8
49,40.835,181.2
49.25,41.043,182.6
49.5,41.252,183.9
49.75,41.46,185.3
50,41.668,186.7
50.25,41.877,188.1
50.5,42.085,189.5
50.75,42.293,190.9
51,42.501,192.3
51.25,42.71,193.7
51.5,42.919,195
51.75,43.126,196.4
52,43.335,197.8
52.25,43.544,199.2
52.5,43.752,200.6
52.75,43.96,201.9
53,44.168,203.3
53.25,44.377,204.7
53.5,44.585,206.1
53.75,44.793,207.4
54,45.001,208.8
54.25,45.21,210.2
54.5,45.419,211.5
54.75,45.627,212.8
55,45.835,214.2
55.25,46.043,215.6
55.5,46.252,216.9
55.75,46.46,218.3
56,46.668,219.6
56.25,46.877,221
56.5,47.085,222.3
56.75,47.293,223.6
57,47.501,225
57.25,47.71,226.3
57.5,47.919,227.7
57.75,48.127,229
58,48.335,230.3
58.25,48.544,231.7
58.5,48.752,232.9
58.75,48.96,234.2
59,49.168,235.6
59.25,49.377,236.9
59.5,49.585,238.2
59.75,49.794,239.5
60,50.001,240.8
60.25,50.21,242
60.5,50.419,243.2
60.75,50.627,244.5
61,50.835,245.8
61.25,51.044,247
61.5,51.252,248.3
61.75,51.46,249.5
62,51.668,250.8
62.25,51.877,252
62.5,52.085,253.2
62.75,52.293,254.4
63,52.501,255.7
63.25,52.71,256.9
63.5,52.919,258.1
63.75,53.127,259.3
64,53.335,260.5
64.25,53.544,261.7
64.5,53.752,262.8
64.75,53.96,263.9
65,54.168,265.2
65.25,54.377,266.3
65.5,54.585,267.4
65.75,54.793,268.5
66,55.001,269.6
66.25,55.21,270.7
66.5,55.418,271.7
66.75,55.627,272.7
67,55.835,273.8
67.25,56.044,274.9
67.5,56.252,275.9
67.75,56.46,276.8
68,56.668,277.8
68.25,56.877,278.6
68.5,57.085,279.3
68.75,57.293,279.8
69,57.501,280.1
69.25,57.71,279.2
69.37,57.809,277.2
69.41,57.844,275.2
69.43,57.862,273.1
69.45,57.877,271.1
69.47,57.892,269.1
69.49,57.909,267.1
69.51,57.929,264.9
69.54,57.948,262.9
69.56,57.968,260.7
69.58,57.985,258.7
69.6,58,256.5
69.61,58.013,254.3
69.63,58.023,252.1
69.64,58.032,249.7
69.64,58.037,247.6
69.65,58.041,244.1
69.65,58.043,239.5
69.65,58.045,231.9
69.65,58.047,221.9
69.65,58.049,210.3
69.66,58.051,197.7
69.66,58.053,184.3
69.66,58.055,170.4
69.66,58.057,156.3
